ChallengeSet#0,"""Cwass Set"""
ChallengeSet_contents#0,"""Cwass Set Contents"""
ChallengeSet_ability#0,"""Cwass Set Expwanation (Confiwm to view cwass skiww detaiws.)"""
ChallengeSet_ability_list#0,"""Cwass Skiwws/PAs/Techniques"""
ChallengeSet_select#0,"""Sewect Cwass Set"""
ChallengeSet_confirm#0,"""Confiwm Cwass Set"""
ChallengeSet_message#0,"""As a [$(0)],<br>your equipment, class skills, etc., will change.<br><br>Continue?"""
ChallengeSet_nouse#0,"""Class set cannot be changed<br>because a quest has begun."""
ChallengeSet_Help#0,"""<c f0df60>Select a Class Set<c>"""
ChallengeSet_Toast#0,"""Appwied Cwass Set [$(0)]."""
MySetClassSetNone#0,"""Cwass has not been set."""
MySetEquipSetNone#0,"""Equipment has not been set."""
MySetPreSetNone#0,"""No Pwesets"""
StatusLabelLevel#0,"""Lv."""
NoClassSkillMessage#0,"""Thewe awe no Cwass Skiwws"""
NoPaMessage#0,"""Thewe awe no Photon Awts"""
NoTechnicMessage#0,"""Thewe awe no Techniques"""
MySetClassNone#0,"""No cwass sewected."""
MySetItemNone#0,"""No items sewected."""
Title#0,"""Cwass Detaiws"""
ItemDetailTitle#0,"""Item Detaiws"""
Class#0,"""Cwass"""
Error#0,"""My Set Ewwow"""
EquipError#0,"""Cannot change equipment."""
ListError#0,"""Couwd not acquiwe My Set."""
QuestStartError#0,"""A quest is awweady undewway."""
MenuError#0,"""Thewe is no My Set."""
InShipToast#0,"""Tempowawiwy switched to chawwenge bwock settings."""
MainMenu_Mail#0,"""Shawed Ship Maiw"""
MainMenu_FriendList#0,"""Shawed Ship Fwiend Wist"""
MainMenu_Community_Friend#0,"""Shawed Ship Fwiend Wist"""
MainMenu_Community_Mail#0,"""Shawed Ship Maiw"""
MainMenu_System_SimbolArt#0,"""Shawed Ship Symbow Awts"""
MainMenu_Community_CommonFriend#0,"""Shawed Ship Fwiend Wist"""
MainMenu_Community_CommonMail#0,"""Shawed Ship Maiw"""
ChallengeTitleText#0,"""Chawwenge Monument"""
ChallengeGuideText#0,"""<c f0df60>Display Rankings of Challenge Quest Users.<c>"""
ChallengeGuideNow#0,"""<c f0df60>Challenge Ranking In-Progress.<c>"""
ChallengeGuideNew#0,"""<c f0df60>Latest Challenge Ranking<c>"""
ChallengeGuideOld#0,"""<c f0df60>Previous Challenge Ranking<c>"""
ChallengeTitleChallengeSelect#0,"""Chawwenge Sewection"""
ChallengeTitleQuest#0,"""$(0)"""
ChallengeCapDate#0,"""Totaw Pewiod"""
ChallengeDate#0,"""Updates Mondays at 07:00 JST"""
ChallengeRankingTitle#0,"""「$(0)」 Chawwenge Wanking"""
ChallengeMission#0,"""Mission $(0) ($(1)%)"""
RankingTab01#0,"""Top 20"""
RankingTab02#0,"""Awound You"""
RankingTab03#0,"""Fwiends Top 20"""
RankingTab04#0,"""Team Top 20"""
RankingText01#0,"""Wankings"""
RankingText02#0,"""Chawactew Name / Pwayew ID Name"""
RankingText03#0,"""Awea Weached / CM"""
RankingText04#0,"""Youw Wanking"""
RankingText05#0,"""Wanking Wist"""
RankingText06#0,"""Chawactew Name"""
RankingText07#0,"""Pwayew ID Name"""
RankingErrorTitle#0,"""Announcement"""
RankingErrorMsg#0,"""現在、一時的にチャレンジランキングは<br>ご利用いただけません。"""
SendTitle#0,"""Chawwenge Comment"""
Message#0,"""今回のチャレンジの結果をコメントに残そう!<br><br>コメントはあなたの最高クリア率に記録された<br>タグに表示されるようになります。<br><br><yellow>※入力したコメントはパーティーメンバーにも<br>表示されるようになります。<c><br><yellow>※コメントは最高クリア率を超えなくても、<br>入力するごとに内容が更新されます。<c>"""
SendErrorTitle#0,"""Chawwenge Comment"""
SendErrorMessage#0,"""ただいま大変混雑しております。<br>チャレンジコメントを保存することが、<br>できませんでした。"""
Achievement_Up#0,"""Achievement Name (+$(0)CP)"""
Achievement_Down#0,"""was achieved!"""
Clear_Msg#0,"""Chawwenge Cweaw Wate: MISSION $(0) $(1)%"""
TextStart#0,"""chawwenge stawt"""
TextClear#0,"""chawwenge cweaw"""
TextMission#0,"""mission"""
TextCongratulations#0,"""congwatuwations!"""
TextInterval#0,"""intewvaw awea"""
TextFinalMission#0,"""finaw mission"""
ResultEmptyMessage#0,"""Entew a comment hewe."""
ReturnMessage#0,"""キャンプシップへ戻ります。<br>よろしいですか？<br><br>キャンプシップに戻ると、VRエネルギーが回復せず<br><yellow>パーティー全体のリザルト評価に影響します。<c><br>また、クエスト開始中に、長時間キャンプシップに<br>残り続けると、個人のリザルト評価に影響します。<br><br>この場で復活することで、VRエネルギーを<br>一定量回復させることができます。"""
SelectedForm_Title#0,"""Shawed Ship Symbow Awt Wist"""
Ship01#0,"""Ship01:Feoh"""
Ship02#0,"""Ship02:OwO"""
Ship03#0,"""Ship03:Thorn"""
Ship04#0,"""Ship04:UmU"""
Ship05#0,"""Ship05:Laguz"""
Ship06#0,"""Ship06:Ken"""
Ship07#0,"""Ship07:Geofu"""
Ship08#0,"""Ship08:Wynn"""
Ship09#0,"""Ship09:Hagall"""
Ship10#0,"""Ship10:Nauthiz"""
DebugShip01#0,"""Ship01"""
DebugShip02#0,"""Ship02"""
DebugShip03#0,"""Ship03"""
DebugShip04#0,"""Ship04"""
DebugShip05#0,"""Ship05"""
DebugShip06#0,"""Ship06"""
DebugShip07#0,"""Ship07"""
DebugShip08#0,"""Ship08"""
DebugShip09#0,"""Ship09"""
DebugShip10#0,"""Ship10"""
