Title#0,"""Pway Wecowds"""
Player#0,"""Pwayew Wecowd"""
Quest#0,"""Quest Wecowd"""
RareItem#0,"""Wecent Wawe Items"""
BossEnemy#0,"""Wecent Bosses Defeated"""
RareEnemy#0,"""Wecent Wawe Enemies"""
Challenge#0,"""Chawwenge Wesuwts"""
TitleEnemyTotal#0,"""Totaw Enemies Defeated"""
TitleQuestTotal#0,"""Numbew of Quests Cweawed"""
TitleRankSS#0,"""Wank SS Evawuations"""
TitleRankS#0,"""S-Wank Evawuations"""
TitleRankA#0,"""A-Wank Evawuations"""
TitleRankB#0,"""B-Wank Evawuations"""
TitleRankC#0,"""C-Wank Evawuations"""
TitleMissCount#0,"""Numbew of Times Incapacitated"""
TitleAttackDamage#0,"""Highest Damage Deawt"""
TitlePlayTimeTotal#0,"""Totaw Pwaytime"""
Normal#0,"""$(0)"""
EnemyCount#0,"""$(0) enemies"""
Count#0,"""$(0) time(s)"""
PlayTime#0,"""$(0):$(1)"""
Number#0,"""$(0)"""
TitleAchieve#0,"""Titwe Eawned"""
TitleQuestName#0,"""Quest Name"""
TitleQuestRank#0,"""Difficuwty"""
TitleQuestResult#0,"""Evawuation"""
RankS#0,"""S-Wanks"""
RankA#0,"""A-Wanks"""
RankB#0,"""B-Wanks"""
RankC#0,"""C-Wanks"""
TitleItemName#0,"""Item Name"""
TitleRarity#0,"""Wawity"""
TitleEnemyName#0,"""Enemy Name"""
TitleLevel#0,"""Wevew"""
Level#0,"""Wv."""
EnemyLevel#0,"""$(0)"""
TitleEnemyName#1,"""Enemy Name"""
TitleLevel#1,"""Wevew"""
Level#1,"""Wv."""
EnemyLevel#1,"""$(0)"""
TitleQuestName#1,"""Quest Name"""
TitleAchievement#0,"""Achievement"""
TitleGetPoint#0,"""Eawned CP"""
